Chr Start End Length Strand_Up Gene_Up Strand_Down Gene_Down
ENSG00000169855 3 79816966 81538849 1721884 -1 ENSG00000169855 -1 ENSG00000114480
ENSG00000114480 3 81811313 86987118 5175806 -1 ENSG00000114480 -1 ENSG00000206538
ENSG00000206538 3 87040270 87276420 236151 -1 ENSG00000206538 1 ENSG00000083937
ENSG00000083937 3 87304699 88101093 796395 1 ENSG00000083937 -1 ENSG00000163320
ENSG00000163320 3 88199036 88198892 -143 -1 ENSG00000163320 1 ENSG00000179021
ENSG00000179021 3 88217880 93591880 5374001 1 ENSG00000179021 -1 ENSG00000184500
ENSG00000184500 3 93692911 93698982 6072 -1 ENSG00000184500 1 ENSG00000169379
ENSG00000169379 3 93774513 93766679 -7833 1 ENSG00000169379 -1 ENSG00000178700
ENSG00000178700 3 93782234 93781759 -474 -1 ENSG00000178700 1 ENSG00000178694
ENSG00000178694 3 93847390 97483364 3635975 1 ENSG00000178694 1 ENSG00000113966
ENSG00000113966 3 97519954 97595818 75865 1 ENSG00000113966 1 ENSG00000080200
ENSG00000080200 3 97663811 97663085 -725 1 ENSG00000080200 -1 ENSG00000170854
ENSG00000170854 3 97691302 98216755 525454 -1 ENSG00000170854 -1 ENSG00000080822
ENSG00000080822 3 98241911 98239975 -1935 -1 ENSG00000080822 -1 ENSG00000080819
ENSG00000080819 3 98312568 98514784 202217 -1 ENSG00000080819 -1 ENSG00000057019
ENSG00000057019 3 98620534 99536677 916144 -1 ENSG00000057019 1 ENSG00000184220
ENSG00000184220 3 99897448 99979843 82396 1 ENSG00000184220 1 ENSG00000036054
ENSG00000036054 3 100044096 100053544 9449 1 ENSG00000036054 1 ENSG00000114021
ENSG00000114021 3 100074450 100082274 7825 1 ENSG00000114021 -1 ENSG00000154174
ENSG00000154174 3 100120243 100211462 91220 -1 ENSG00000154174 1 ENSG00000181458
ENSG00000181458 3 100296289 100428204 131916 1 ENSG00000181458 1 ENSG00000114354
ENSG00000114354 3 100467811 101043048 575238 1 ENSG00000114354 -1 ENSG00000138468
ENSG00000138468 3 101232086 101280705 48620 -1 ENSG00000138468 1 ENSG00000174173
ENSG00000174173 3 101285291 101292938 7648 1 ENSG00000174173 1 ENSG00000081154
ENSG00000081154 3 101313282 101367732 54451 1 ENSG00000081154 -1 ENSG00000066422
ENSG00000066422 3 101396340 101399934 3595 -1 ENSG00000066422 -1 ENSG00000114391
ENSG00000114391 3 101405627 101442768 37142 -1 ENSG00000114391 1 ENSG00000182504
ENSG00000182504 3 101489407 101498045 8639 1 ENSG00000182504 1 ENSG00000144815
ENSG00000144815 3 101547074 101546834 -239 1 ENSG00000144815 1 ENSG00000144802
ENSG00000144802 3 101579867 105085752 3505886 1 ENSG00000144802 1 ENSG00000170017
ENSG00000170017 3 105295745 105374304 78560 1 ENSG00000170017 -1 ENSG00000114423
ENSG00000114423 3 105588397 107241782 1653386 -1 ENSG00000114423 1 ENSG00000114439
ENSG00000114439 3 107530172 107762144 231973 1 ENSG00000114439 -1 ENSG00000196776
ENSG00000196776 3 107809873 108268715 458843 -1 ENSG00000196776 -1 ENSG00000163507
ENSG00000163507 3 108308492 108308528 37 -1 ENSG00000163507 1 ENSG00000198919
ENSG00000198919 3 108413694 110607230 2193537 1 ENSG00000198919 -1 ENSG00000206532
ENSG00000206532 3 110612324 110788917 176594 -1 ENSG00000206532 1 ENSG00000177707
ENSG00000177707 3 110994411 111451343 456933 1 ENSG00000177707 1 ENSG00000144824
ENSG00000144824 3 111695365 111697856 2492 1 ENSG00000144824 1 ENSG00000144827
ENSG00000144827 3 111712211 111805181 92971 1 ENSG00000144827 1 ENSG00000114529
ENSG00000114529 3 111849852 112251355 401504 1 ENSG00000114529 -1 ENSG00000144848
ENSG00000144848 3 112280894 112280555 -338 -1 ENSG00000144848 1 ENSG00000138459
ENSG00000138459 3 112304425 112709764 405340 1 ENSG00000138459 1 ENSG00000163607
ENSG00000163607 3 112733908 112721286 -12621 1 ENSG00000163607 -1 ENSG00000163608
ENSG00000163608 3 112738709 113005776 267068 -1 ENSG00000163608 -1 ENSG00000206530
ENSG00000206530 3 113160458 113161564 1107 -1 ENSG00000206530 -1 ENSG00000163611
ENSG00000163611 3 113234035 113367231 133197 -1 ENSG00000163611 -1 ENSG00000176542
ENSG00000176542 3 113415494 113437840 22347 -1 ENSG00000176542 -1 ENSG00000121579
ENSG00000121579 3 113465148 113465865 718 -1 ENSG00000121579 1 ENSG00000114573
ENSG00000114573 3 113530904 113547028 16125 1 ENSG00000114573 1 ENSG00000178075
ENSG00000178075 3 113666022 113666747 726 1 ENSG00000178075 1 ENSG00000184307
ENSG00000184307 3 113684249 113724679 40431 1 ENSG00000184307 1 ENSG00000151576
ENSG00000151576 3 113807270 114056940 249671 1 ENSG00000151576 -1 ENSG00000181722
ENSG00000181722 3 114866119 118930578 4064460 -1 ENSG00000181722 -1 ENSG00000121578
ENSG00000121578 3 118959951 119148346 188396 -1 ENSG00000121578 -1 ENSG00000176142
ENSG00000176142 3 119187678 119187784 107 -1 ENSG00000176142 1 ENSG00000163389
ENSG00000163389 3 119213556 119217378 3823 1 ENSG00000163389 1 ENSG00000113845
ENSG00000113845 3 119243938 119373359 129422 1 ENSG00000113845 -1 ENSG00000138495
ENSG00000138495 3 119396302 119540169 143868 -1 ENSG00000138495 -1 ENSG00000082701
ENSG00000082701 3 119813265 120043355 230091 -1 ENSG00000082701 -1 ENSG00000163428
ENSG00000163428 3 120068187 120111139 42953 -1 ENSG00000163428 -1 ENSG00000163430
ENSG00000163430 3 120170101 120315155 145055 -1 ENSG00000163430 1 ENSG00000065518
ENSG00000065518 3 120321348 120405527 84180 1 ENSG00000065518 -1 ENSG00000144840
ENSG00000144840 3 120461841 120461483 -357 -1 ENSG00000144840 1 ENSG00000153767
ENSG00000153767 3 120501917 121150277 648361 1 ENSG00000153767 -1 ENSG00000051341
ENSG00000051341 3 121264854 121382045 117192 -1 ENSG00000051341 -1 ENSG00000173230
ENSG00000173230 3 121468603 121488609 20007 -1 ENSG00000173230 -1 ENSG00000173226
ENSG00000173226 3 121553927 121554029 103 -1 ENSG00000173226 1 ENSG00000145088
ENSG00000145088 3 121605374 122078437 473064 1 ENSG00000145088 -1 ENSG00000160124
ENSG00000160124 3 122102079 122103022 944 -1 ENSG00000160124 1 ENSG00000114023
ENSG00000114023 3 122131182 122130714 -467 1 ENSG00000114023 -1 ENSG00000196981
ENSG00000196981 3 122134883 122140795 5913 -1 ENSG00000196981 -1 ENSG00000114030
ENSG00000114030 3 122233793 122246770 12978 -1 ENSG00000114030 -1 ENSG00000138496
ENSG00000138496 3 122283425 122283084 -340 -1 ENSG00000138496 1 ENSG00000163840
ENSG00000163840 3 122294051 122296448 2398 1 ENSG00000163840 1 ENSG00000173200
ENSG00000173200 3 122357895 122399464 41570 1 ENSG00000173200 1 ENSG00000173193
ENSG00000173193 3 122449688 122458845 9158 1 ENSG00000173193 -1 ENSG00000169087
ENSG00000169087 3 122512672 122513641 970 -1 ENSG00000169087 1 ENSG00000138463
ENSG00000138463 3 122599987 122785908 185922 1 ENSG00000138463 1 ENSG00000065485
ENSG00000065485 3 122944075 122920773 -23301 1 ENSG00000065485 1 ENSG00000121542
ENSG00000121542 3 122992978 123209666 216689 1 ENSG00000121542 -1 ENSG00000206527
ENSG00000206527 3 123304033 123616151 312119 -1 ENSG00000206527 -1 ENSG00000175455
ENSG00000175455 3 123680565 124449212 768648 -1 ENSG00000175455 1 ENSG00000114491
ENSG00000114491 3 124464041 124480794 16754 1 ENSG00000114491 -1 ENSG00000082781
ENSG00000082781 3 124606675 124624288 17614 -1 ENSG00000082781 -1 ENSG00000173702
ENSG00000173702 3 124672664 124684553 11890 -1 ENSG00000173702 -1 ENSG00000173706
ENSG00000173706 3 124774803 124944404 169602 -1 ENSG00000173706 -1 ENSG00000163848
ENSG00000163848 3 125094199 125165494 71296 -1 ENSG00000163848 -1 ENSG00000114520
ENSG00000114520 3 125239042 125247701 8660 -1 ENSG00000114520 -1 ENSG00000144909
ENSG00000144909 3 125313935 125725197 411263 -1 ENSG00000144909 -1 ENSG00000114544
ENSG00000114544 3 125820405 126156443 336039 -1 ENSG00000114544 -1 ENSG00000070476
ENSG00000070476 3 126194763 126290621 95859 -1 ENSG00000070476 -1 ENSG00000197763
ENSG00000197763 3 126373999 126423062 49064 -1 ENSG00000197763 1 ENSG00000159685
ENSG00000159685 3 126679250 126707436 28187 1 ENSG00000159685 1 ENSG00000114554
ENSG00000114554 3 126756236 127291911 535676 1 ENSG00000114554 -1 ENSG00000163870
ENSG00000163870 3 127317095 127317065 -29 -1 ENSG00000163870 1 ENSG00000073111
ENSG00000073111 3 127341277 127348023 6747 1 ENSG00000073111 1 ENSG00000114631
ENSG00000114631 3 127391653 127391777 125 1 ENSG00000114631 1 ENSG00000114626
ENSG00000114626 3 127399769 127407908 8140 1 ENSG00000114626 -1 ENSG00000074416
ENSG00000074416 3 127542052 127770483 228432 -1 ENSG00000074416 1 ENSG00000058262
ENSG00000058262 3 127790527 127783620 -6906 1 ENSG00000058262 -1 ENSG00000175792
ENSG00000175792 3 127872758 128198269 325512 -1 ENSG00000175792 -1 ENSG00000179348
ENSG00000179348 3 128212029 128338816 126788 -1 ENSG00000179348 -1 ENSG00000163902
ENSG00000163902 3 128399919 128444964 45046 -1 ENSG00000163902 1 ENSG00000075785
ENSG00000075785 3 128533640 128598438 64799 1 ENSG00000075785 1 ENSG00000177646
ENSG00000177646 3 128634911 128846257 211347 1 ENSG00000177646 -1 ENSG00000240682
ENSG00000240682 3 128880137 128888326 8190 -1 ENSG00000240682 -1 ENSG00000169714
ENSG00000169714 3 128902766 128968448 65683 -1 ENSG00000169714 1 ENSG00000181789
ENSG00000181789 3 128996615 128997670 1056 1 ENSG00000181789 1 ENSG00000183624
ENSG00000183624 3 129025030 129033614 8585 1 ENSG00000183624 -1 ENSG00000184897
ENSG00000184897 3 129035121 129149786 114666 -1 ENSG00000184897 -1 ENSG00000129071
ENSG00000129071 3 129158879 129158967 89 -1 ENSG00000129071 1 ENSG00000163913
ENSG00000163913 3 129239199 129274017 34819 1 ENSG00000163913 -1 ENSG00000004399
ENSG00000004399 3 129325662 129366634 40973 -1 ENSG00000004399 -1 ENSG00000172765
ENSG00000172765 3 129612420 130397778 785359 -1 ENSG00000172765 -1 ENSG00000196455
ENSG00000196455 3 130465674 130569438 103765 -1 ENSG00000196455 1 ENSG00000017260
ENSG00000017260 3 130735557 130732718 -2838 1 ENSG00000017260 -1 ENSG00000034533
ENSG00000034533 3 130746494 131100514 354021 -1 ENSG00000034533 1 ENSG00000198585
ENSG00000198585 3 131107675 131181055 73381 1 ENSG00000198585 -1 ENSG00000114686
ENSG00000114686 3 131221828 132036210 814383 -1 ENSG00000114686 1 ENSG00000014257
ENSG00000014257 3 132087143 132136369 49227 1 ENSG00000014257 1 ENSG00000138246
ENSG00000138246 3 132257877 132276981 19105 1 ENSG00000138246 -1 ENSG00000240303
ENSG00000240303 3 132379568 132276985 -102582 -1 ENSG00000240303 -1 ENSG00000113971
ENSG00000113971 3 132441304 133292573 851270 -1 ENSG00000113971 1 ENSG00000091527
ENSG00000091527 3 133309106 133317018 7913 1 ENSG00000091527 -1 ENSG00000163781
ENSG00000163781 3 133380738 133502876 122139 -1 ENSG00000163781 1 ENSG00000144867
ENSG00000144867 3 133544617 133784146 239530 1 ENSG00000144867 -1 ENSG00000163785
ENSG00000163785 3 133969690 134074715 105026 -1 ENSG00000163785 -1 ENSG00000114019
ENSG00000114019 3 134094322 134196547 102226 -1 ENSG00000114019 -1 ENSG00000129055
ENSG00000129055 3 134205559 134204584 -974 -1 ENSG00000129055 1 ENSG00000182923
ENSG00000182923 3 134293860 135867763 1573904 1 ENSG00000182923 -1 ENSG00000174579
ENSG00000174579 3 135916084 135969147 53064 -1 ENSG00000174579 1 ENSG00000114054
ENSG00000114054 3 136056739 136055076 -1662 1 ENSG00000114054 -1 ENSG00000118007
ENSG00000118007 3 136471221 136537488 66268 -1 ENSG00000118007 1 ENSG00000168917
ENSG00000168917 3 136574735 136581049 6315 1 ENSG00000168917 1 ENSG00000158092
ENSG00000158092 3 136668666 136665071 -3594 1 ENSG00000158092 1 ENSG00000174564
ENSG00000174564 3 136729928 137780831 1050904 1 ENSG00000174564 -1 ENSG00000158163
ENSG00000158163 3 137834661 137879853 45193 -1 ENSG00000158163 -1 ENSG00000138231
ENSG00000138231 3 137893792 137906108 12317 -1 ENSG00000138231 1 ENSG00000114098
ENSG00000114098 3 138017232 138066538 49307 1 ENSG00000114098 1 ENSG00000158186
ENSG00000158186 3 138124376 138213185 88810 1 ENSG00000158186 -1 ENSG00000114107
ENSG00000114107 3 138313381 138327447 14067 -1 ENSG00000114107 1 ENSG00000158234
ENSG00000158234 3 138352219 138372859 20641 1 ENSG00000158234 -1 ENSG00000051382
ENSG00000051382 3 138553781 138666075 112295 -1 ENSG00000051382 1 ENSG00000206262
ENSG00000206262 3 138672294 138724647 52354 1 ENSG00000206262 1 ENSG00000175110
ENSG00000175110 3 139076066 139074441 -1624 1 ENSG00000175110 -1 ENSG00000184432
ENSG00000184432 3 139108575 140660671 1552097 -1 ENSG00000184432 1 ENSG00000114120
ENSG00000114120 3 140698776 140947567 248792 1 ENSG00000114120 1 ENSG00000155893
ENSG00000155893 3 141013749 141043054 29306 1 ENSG00000155893 1 ENSG00000177311
ENSG00000177311 3 141168635 141205888 37254 1 ENSG00000177311 1 ENSG00000155903
ENSG00000155903 3 141334185 141457045 122861 1 ENSG00000155903 1 ENSG00000114125
ENSG00000114125 3 141466403 141594965 128563 1 ENSG00000114125 1 ENSG00000069849
ENSG00000069849 3 141645357 141663276 17920 1 ENSG00000069849 -1 ENSG00000114126
ENSG00000114126 3 141868387 141882413 14027 -1 ENSG00000114126 -1 ENSG00000175066
ENSG00000175066 3 141944450 142025448 80999 -1 ENSG00000175066 -1 ENSG00000114127
ENSG00000114127 3 142166905 142168076 1172 -1 ENSG00000114127 -1 ENSG00000175054
ENSG00000175054 3 142297669 142315228 17560 -1 ENSG00000175054 1 ENSG00000120756
ENSG00000120756 3 142432507 142442915 10409 1 ENSG00000120756 1 ENSG00000144935
ENSG00000144935 3 142526731 142534763 8033 1 ENSG00000144935 -1 ENSG00000163710
ENSG00000163710 3 142608046 142683338 75293 -1 ENSG00000163710 1 ENSG00000163714
ENSG00000163714 3 142779568 143690639 911072 1 ENSG00000163714 1 ENSG00000181744
ENSG00000181744 3 143767562 145787226 2019665 1 ENSG00000181744 -1 ENSG00000152952
ENSG00000152952 3 145881441 145910125 28685 -1 ENSG00000152952 -1 ENSG00000114698
ENSG00000114698 3 145968967 146232966 264000 -1 ENSG00000114698 -1 ENSG00000188313
ENSG00000188313 3 146262652 148709127 2446476 -1 ENSG00000188313 1 ENSG00000163754
ENSG00000163754 3 148745420 148747913 2494 1 ENSG00000163754 -1 ENSG00000071794
ENSG00000071794 3 148804342 148847370 43029 -1 ENSG00000071794 1 ENSG00000163755
ENSG00000163755 3 148891520 149086808 195289 1 ENSG00000163755 -1 ENSG00000169908
ENSG00000169908 3 149095653 149235021 139369 -1 ENSG00000169908 -1 ENSG00000018408
ENSG00000018408 3 149454502 149456256 1755 -1 ENSG00000018408 -1 ENSG00000114744
ENSG00000114744 3 149470287 149682690 212404 -1 ENSG00000114744 -1 ENSG00000070087
ENSG00000070087 3 149768576 150126121 357546 -1 ENSG00000070087 1 ENSG00000196428
ENSG00000196428 3 150177904 150259780 81877 1 ENSG00000196428 -1 ENSG00000120742
ENSG00000120742 3 150321016 150320661 -354 -1 ENSG00000120742 1 ENSG00000198843
ENSG00000198843 3 150348223 150458913 110691 1 ENSG00000198843 -1 ENSG00000181788
ENSG00000181788 3 150481265 151143171 661907 -1 ENSG00000181788 -1 ENSG00000152580
ENSG00000152580 3 151176498 151961616 785119 -1 ENSG00000152580 1 ENSG00000152601
ENSG00000152601 3 152183570 152880028 696459 1 ENSG00000152601 1 ENSG00000181467
ENSG00000181467 3 152886266 153990334 1104069 1 ENSG00000181467 -1 ENSG00000174953
ENSG00000174953 3 154042287 155480400 1438114 -1 ENSG00000174953 -1 ENSG00000174928
ENSG00000174928 3 155524141 155544304 20164 -1 ENSG00000174928 -1 ENSG00000169359
ENSG00000169359 3 155572219 155588324 16106 -1 ENSG00000169359 1 ENSG00000163655
ENSG00000163655 3 155658458 156257928 599471 1 ENSG00000163655 -1 ENSG00000114850
ENSG00000114850 3 156272974 156391023 118050 -1 ENSG00000114850 1 ENSG00000163659
ENSG00000163659 3 156424560 156864296 439737 1 ENSG00000163659 -1 ENSG00000163660
ENSG00000163660 3 156878550 156977530 98981 -1 ENSG00000163660 -1 ENSG00000197415
ENSG00000197415 3 157251409 157823643 572235 -1 ENSG00000197415 1 ENSG00000174891
ENSG00000174891 3 158263520 158449986 186467 1 ENSG00000174891 1 ENSG00000118855
ENSG00000118855 3 158547509 158680023 132515 1 ENSG00000118855 1 ENSG00000250588
ENSG00000250588 3 159615156 160212782 597627 1 ENSG00000250588 -1 ENSG00000186432
ENSG00000186432 3 160283377 160473389 190013 -1 ENSG00000186432 1 ENSG00000163590
ENSG00000163590 3 160796696 160822483 25788 1 ENSG00000163590 1 ENSG00000169251
ENSG00000169251 3 160971321 167401085 6429765 1 ENSG00000169251 -1 ENSG00000114209
ENSG00000114209 3 167452728 167453030 303 -1 ENSG00000114209 1 ENSG00000163536
ENSG00000163536 3 167543357 167726464 183108 1 ENSG00000163536 -1 ENSG00000173905
ENSG00000173905 3 167813764 168801286 987523 -1 ENSG00000173905 -1 ENSG00000085276
ENSG00000085276 3 169381407 169484708 103302 -1 ENSG00000085276 -1 ENSG00000184378
ENSG00000184378 3 169487684 169490618 2935 -1 ENSG00000184378 1 ENSG00000085274
ENSG00000085274 3 169507505 169684422 176918 1 ENSG00000085274 1 ENSG00000008952
ENSG00000008952 3 169716162 169755716 39555 1 ENSG00000008952 1 ENSG00000173890
ENSG00000173890 3 169803192 169804519 1328 1 ENSG00000173890 -1 ENSG00000173889
ENSG00000173889 3 169899538 169940152 40615 -1 ENSG00000173889 1 ENSG00000163558
ENSG00000163558 3 170023770 170075465 51696 1 ENSG00000163558 1 ENSG00000136603
ENSG00000136603 3 170114624 170582663 468040 1 ENSG00000136603 -1 ENSG00000163584
ENSG00000163584 3 170588273 170606203 17931 -1 ENSG00000163584 -1 ENSG00000163577
ENSG00000163577 3 170626483 171318194 691712 -1 ENSG00000163577 -1 ENSG00000075651
ENSG00000075651 3 171528741 171561138 32398 -1 ENSG00000075651 1 ENSG00000186329
ENSG00000186329 3 171656506 171757417 100912 1 ENSG00000186329 1 ENSG00000075420
ENSG00000075420 3 172119456 172348038 228583 1 ENSG00000075420 -1 ENSG00000144959
ENSG00000144959 3 172429009 172468471 39463 -1 ENSG00000144959 1 ENSG00000114346
ENSG00000114346 3 172539265 176737142 4197878 1 ENSG00000114346 -1 ENSG00000177565
ENSG00000177565 3 176915262 178735010 1819749 -1 ENSG00000177565 -1 ENSG00000172667
ENSG00000172667 3 178790068 178865901 75834 -1 ENSG00000172667 1 ENSG00000121879
ENSG00000121879 3 178957882 179040778 82897 1 ENSG00000121879 1 ENSG00000121864
ENSG00000121864 3 179053324 179065479 12156 1 ENSG00000121864 1 ENSG00000171109
ENSG00000171109 3 179112720 179116989 4270 1 ENSG00000171109 -1 ENSG00000114450
ENSG00000114450 3 179169379 179280667 111289 -1 ENSG00000114450 1 ENSG00000136518
ENSG00000136518 3 179306197 179306072 -124 1 ENSG00000136518 -1 ENSG00000136522
ENSG00000136522 3 179322443 179322477 35 -1 ENSG00000136522 1 ENSG00000136521
ENSG00000136521 3 179345436 179370542 25107 1 ENSG00000136521 1 ENSG00000058056
ENSG00000058056 3 179507190 180319917 812728 1 ENSG00000058056 1 ENSG00000163728
ENSG00000163728 3 180335617 180585928 250312 1 ENSG00000163728 1 ENSG00000114416
ENSG00000114416 3 180700542 180701496 955 1 ENSG00000114416 -1 ENSG00000205981
ENSG00000205981 3 180707563 182511287 1803725 -1 ENSG00000205981 1 ENSG00000058063
ENSG00000058063 3 182639424 182655861 16438 1 ENSG00000058063 -1 ENSG00000043093
ENSG00000043093 3 182703742 182733005 29264 -1 ENSG00000043093 -1 ENSG00000078070
ENSG00000078070 3 182833864 183353355 519492 -1 ENSG00000078070 1 ENSG00000114796
ENSG00000114796 3 183398734 183415605 16872 1 ENSG00000114796 1 ENSG00000163872
ENSG00000163872 3 183530414 183533663 3250 1 ENSG00000163872 -1 ENSG00000180834
ENSG00000180834 3 183543383 183547172 3790 -1 ENSG00000180834 -1 ENSG00000175193
ENSG00000175193 3 183602722 183637721 35000 -1 ENSG00000175193 -1 ENSG00000114770
ENSG00000114770 3 183735804 183852825 117022 -1 ENSG00000114770 1 ENSG00000145191
ENSG00000145191 3 184402547 184428155 25609 1 ENSG00000145191 -1 ENSG00000177383
ENSG00000177383 3 184429837 184529930 100094 -1 ENSG00000177383 1 ENSG00000156931
ENSG00000156931 3 184770403 185000728 230326 1 ENSG00000156931 1 ENSG00000073803
ENSG00000073803 3 185206886 185194283 -12602 1 ENSG00000073803 -1 ENSG00000163900
ENSG00000163900 3 185216846 185224049 7204 -1 ENSG00000163900 -1 ENSG00000163898
ENSG00000163898 3 185270402 185300283 29882 -1 ENSG00000163898 1 ENSG00000163904
ENSG00000163904 3 185351340 185361526 10187 1 ENSG00000163904 -1 ENSG00000073792
ENSG00000073792 3 185542845 185633693 90849 -1 ENSG00000073792 -1 ENSG00000136527
ENSG00000136527 3 185655925 186263861 607937 -1 ENSG00000136527 -1 ENSG00000113838
ENSG00000113838 3 186288333 186285191 -3141 -1 ENSG00000113838 1 ENSG00000090520
ENSG00000090520 3 186315062 186500993 185932 1 ENSG00000090520 1 ENSG00000156976
ENSG00000156976 3 186507690 186838735 331046 1 ENSG00000156976 -1 ENSG00000163923
ENSG00000163923 3 186898697 186935941 37245 -1 ENSG00000163923 -1 ENSG00000127241
ENSG00000127241 3 187009811 187439164 429354 -1 ENSG00000127241 -1 ENSG00000113916
ENSG00000113916 3 187463516 187871071 407556 -1 ENSG00000113916 1 ENSG00000145012
ENSG00000145012 3 188608461 190023489 1415029 1 ENSG00000145012 -1 ENSG00000163347
ENSG00000163347 3 190040265 190231839 191575 -1 ENSG00000163347 1 ENSG00000196083
ENSG00000196083 3 190375844 191046865 671022 1 ENSG00000196083 1 ENSG00000152492
ENSG00000152492 3 191116460 191859683 743224 1 ENSG00000152492 -1 ENSG00000114279
ENSG00000114279 3 192485554 192514603 29050 -1 ENSG00000114279 -1 ENSG00000180611
ENSG00000180611 3 192635951 193310932 674982 -1 ENSG00000180611 1 ENSG00000198836
ENSG00000198836 3 193415613 193853933 438321 1 ENSG00000198836 1 ENSG00000114315
ENSG00000114315 3 193856522 194123400 266879 1 ENSG00000114315 -1 ENSG00000133657
ENSG00000133657 3 194219094 194361516 142423 -1 ENSG00000133657 -1 ENSG00000041802
ENSG00000041802 3 194393207 194789007 395801 -1 ENSG00000041802 -1 ENSG00000173950
ENSG00000173950 3 194991897 194995464 3568 -1 ENSG00000173950 -1 ENSG00000114331
ENSG00000114331 3 195163808 195241220 77413 -1 ENSG00000114331 -1 ENSG00000184203
ENSG00000184203 3 195270210 195941092 670883 -1 ENSG00000184203 -1 ENSG00000161217
ENSG00000161217 3 196014829 195975100 -39728 -1 ENSG00000161217 -1 ENSG00000213123
ENSG00000213123 3 196045171 196074532 29362 -1 ENSG00000213123 -1 ENSG00000163960
ENSG00000163960 3 196159346 196195653 36308 -1 ENSG00000163960 -1 ENSG00000163961
ENSG00000163961 3 196230640 196281055 50416 -1 ENSG00000163961 -1 ENSG00000185798
ENSG00000185798 3 196295546 196295481 -64 -1 ENSG00000185798 1 ENSG00000174013
ENSG00000174013 3 196315931 196366645 50715 1 ENSG00000174013 1 ENSG00000163964
ENSG00000163964 3 196462879 196466727 3849 1 ENSG00000163964 1 ENSG00000180370
ENSG00000180370 3 196559519 196594726 35208 1 ENSG00000180370 1 ENSG00000119231
ENSG00000119231 3 196661586 196662272 687 1 ENSG00000119231 -1 ENSG00000114503
ENSG00000114503 3 196669469 196769430 99962 -1 ENSG00000114503 -1 ENSG00000075711
ENSG00000075711 3 197026172 197236653 210482 -1 ENSG00000075711 -1 ENSG00000161267
ENSG00000161267 3 197300195 197398263 98069 -1 ENSG00000161267 -1 ENSG00000145016
ENSG00000145016 3 197476599 197464049 -12549 -1 ENSG00000145016 1 ENSG00000122068
ENSG00000122068 3 197511318 197518096 6779 1 ENSG00000122068 1 ENSG00000186001
ENSG00000186001 3 197615308 197615945 638 1 ENSG00000186001 -1 ENSG00000114473
ENSG00000114473 3 197687014 197687070 57 -1 ENSG00000114473 1 ENSG00000185621
ENSG00000131127 4 378654 419603 40950 1 ENSG00000131127 -1 ENSG00000182903
ENSG00000182903 4 492946 492988 43 -1 ENSG00000182903 1 ENSG00000174227
ENSG00000174227 4 533986 666224 132239 1 ENSG00000174227 -1 ENSG00000169020
ENSG00000169020 4 668128 667368 -759 -1 ENSG00000169020 1 ENSG00000215375
ENSG00000215375 4 675823 699536 23714 1 ENSG00000215375 1 ENSG00000185619
ENSG00000185619 4 764429 843063 78635 1 ENSG00000185619 -1 ENSG00000178950
ENSG00000178950 4 926162 926174 13 -1 ENSG00000178950 1 ENSG00000127419
ENSG00000127419 4 952445 1003723 51279 1 ENSG00000127419 1 ENSG00000127418
ENSG00000127418 4 1020686 1050037 29352 1 ENSG00000127418 -1 ENSG00000178222
ENSG00000178222 4 1107351 1205235 97885 -1 ENSG00000178222 -1 ENSG00000159692
ENSG00000159692 4 1243742 1283638 39897 -1 ENSG00000159692 1 ENSG00000090316
ENSG00000090316 4 1333936 1694526 360591 1 ENSG00000090316 -1 ENSG00000163950
ENSG00000163950 4 1714283 1717678 3396 -1 ENSG00000163950 -1 ENSG00000168936
ENSG00000168936 4 1723086 1723226 141 -1 ENSG00000168936 1 ENSG00000013810
ENSG00000013810 4 1746899 1813205 66307 1 ENSG00000013810 -1 ENSG00000168924
ENSG00000168924 4 1857975 1873150 15176 -1 ENSG00000168924 1 ENSG00000109685
ENSG00000109685 4 1983935 1984440 506 1 ENSG00000109685 -1 ENSG00000185049
ENSG00000185049 4 2043631 2229190 185560 -1 ENSG00000185049 -1 ENSG00000214367
ENSG00000214367 4 2243892 2249158 5267 -1 ENSG00000214367 -1 ENSG00000123933
ENSG00000123933 4 2264022 2463946 199925 -1 ENSG00000123933 1 ENSG00000063978
ENSG00000063978 4 2627048 2743374 116327 1 ENSG00000063978 -1 ENSG00000168884
ENSG00000168884 4 2758104 2794749 36646 -1 ENSG00000168884 1 ENSG00000087266
ENSG00000087266 4 2842826 2845583 2758 1 ENSG00000087266 1 ENSG00000087274
ENSG00000087274 4 2931804 2939659 7856 1 ENSG00000087274 -1 ENSG00000087269
ENSG00000087269 4 2965113 2965334 222 -1 ENSG00000087269 1 ENSG00000125388
ENSG00000125388 4 3042475 3076407 33933 1 ENSG00000125388 1 ENSG00000197386
ENSG00000197386 4 3245677 3508102 262426 1 ENSG00000197386 -1 ENSG00000163956
ENSG00000163956 4 3534287 4237268 702982 -1 ENSG00000163956 -1 ENSG00000132406
ENSG00000132406 4 4249951 4269427 19477 -1 ENSG00000132406 -1 ENSG00000145220
ENSG00000145220 4 4291897 4291923 27 -1 ENSG00000145220 1 ENSG00000168826
ENSG00000168826 4 4323514 4417468 93955 1 ENSG00000168826 -1 ENSG00000168818
ENSG00000168818 4 4544074 6641817 2097744 -1 ENSG00000168818 1 ENSG00000179010
ENSG00000179010 4 6644473 6694795 50323 1 ENSG00000179010 1 ENSG00000163993
ENSG00000163993 4 6698898 6709427 10530 1 ENSG00000163993 -1 ENSG00000178988
